Total Benefits,Total Compensation,Percent Total Benefit
5261.987683026844,14943.93892839015,35.21151758075136
17990.227815217397,54919.04378260864,32.757722232801164
24367.96903724981,74436.42997312832,32.73661706512079
21667.344840031277,66888.89110482493,32.39303938538209
19673.743313709012,61537.9934650968,31.970076055319534
21742.58056647022,68648.5142452523,31.672325039392863
20370.088934294894,64919.21931891024,31.377593797344566
24904.625022522523,79777.18998873873,31.217726553214064
25649.088021978056,82260.57706318682,31.180291869671933
22873.31372906102,73450.41885815279,31.14116173147207
26763.061197511674,86181.32611715923,31.05436224215049
5483.940170082877,17721.702802006108,30.944769988254688
21404.43663870245,69260.16514541388,30.904397345520568
26331.60903972858,86170.86036579449,30.557440099763593
26276.221428571425,86100.20102040817,30.51818824713687
29979.178673734285,98550.8336607529,30.420015295794762
30423.61271086943,100293.54805805642,30.33456618092549
26948.858381535036,88904.44729143493,30.3121600803555
29260.386997405956,97146.03667315171,30.120000773528893
23797.758759633907,79101.51302263972,30.08508668199903
26100.718347650058,86982.37348637458,30.006905194118005
27597.523531221075,92440.12409432055,29.854485594439662
23208.05234394382,77787.98530453342,29.83500890669201
29232.33904126217,98295.38601537232,29.739278949156933
28373.55619194139,96589.78878021985,29.37531653216729
31969.62539062507,109840.08471467391,29.10560882547657
28206.45210526315,97486.20907894739,28.933787016398067
13267.246832547167,45962.52832075472,28.865354707992086
32821.09876937983,114204.25275436044,28.738946210675753
29005.652010906582,101903.43835719144,28.463859982070588
42125.533614395616,148228.39346128245,28.419341686651205
33471.32484720266,118082.59322284913,28.34568917709534
20914.189163013998,73796.31747025676,28.34042385847147
28172.24750000001,99424.51550000001,28.335312833382638
36687.517703213576,130219.32497164453,28.173635296606204
30688.797066173862,109809.10092749032,27.947407643778487
32442.430657894743,116238.05618421052,27.910334810211356
33418.369716435176,120409.77099151231,27.75386867797534
34694.5616971066,125461.28009371395,27.653600912720893
34132.39041623716,123784.82634922679,27.573969623660876
37943.27127272728,137771.24509090913,27.540776921693784
33023.53105009357,122332.3921777894,26.994919711943066
36663.27678703706,136150.45091666665,26.92850191842367
30555.03390501318,115397.95118073889,26.477969142759903
41794.70427745664,158192.49098265896,26.42015687207187
39370.03576953739,149247.51065656563,26.379023406381645
36641.496576852434,140369.740936926,26.103557883829815
14255.25,54927.75,25.95272881193932
39782.24627147767,154615.36231958767,25.729814731636015
41174.409660194186,166314.76864077675,24.756917257977726
23879.11859214677,99222.61634307825,24.066205339295685
34798.48754256108,146173.35106587713,23.806314412863234
32263.85117142849,135815.00667252723,23.75573359814505
58060.54757575756,247806.65575757576,23.42977729886199
37228.34,171787.59,21.67114632669333
38062.44547500386,183115.413968433,20.786041245858957
31626.831217108313,153966.0716099492,20.541428956653725
